sql_file,bao_execution_time,postgres_execution_time,,,bao_execution_time,postgres_execution_time
6a104.sql,965.607,965.607,,,1255.024,5877.746
10a1.sql,1255.024,5877.746,,,40.975,45.437
2c242.sql,40.975,45.437,,,345.646,413.593
10a2.sql,345.646,413.593,,,137.129,138.392
9a2.sql,1147.904,1147.904,,,588.331,647.501
7a63.sql,1494.537,1494.537,,,449.303,457.032
2c241.sql,137.129,138.392,,,15.483,21.67
11a2.sql,588.331,647.501,,,1107.112,1137.089
2a5.sql,449.303,457.032,,,635.796,658.937
3a1092.sql,15.483,21.67,,,138.91,169.537
7a64.sql,1107.112,1137.089,,,85.487,97.847
5a250.sql,635.796,658.937,,,1564.464,2695.87
3a1108.sql,138.91,169.537,,,361.928,375.092
15a_job_middle.sql,85.487,97.847,,,2659.294,3284.584
1a796.sql,121.764,121.764,,,157.856,187.356
2b180.sql,1564.464,2695.87,,,202.315,217.339
2a404.sql,102.935,102.935,,,1379.638,1384.154
1a807.sql,535.23,535.23,,,149.965,159.481
11b1.sql,361.928,375.092,,,182.288,204.525
11a1.sql,2659.294,3284.584,,,1156.045,1176.768
8a6.sql,157.856,187.356,,,116.254,126.908
3b2.sql,202.315,217.339,,,468.451,494.325
9a1.sql,1379.638,1384.154,,,727.346,757.291
4a279.sql,149.965,159.481,,,1553.639,1566.696
4a326.sql,182.288,204.525,,,4.912,12.4
6a107.sql,1156.045,1176.768,,,746.369,992.651
2b179.sql,461.415,461.415,,,170.815,176.037
3b1.sql,116.254,126.908,,,,
9b2.sql,468.451,494.325,,,16400.775,23476.258
9b1.sql,727.346,757.291,,,,
11b2.sql,1553.639,1566.696,,,,0.301388876
33b_job_middle.sql,4.912,12.4,,,,
8a117.sql,2995.366,2995.366,,,,
20a_job_middle.sql,746.369,992.651,,,,
5a276.sql,170.815,176.037,,,,
,,,,,,
,24225.533,31301.016,,,,
,,,,,,
,,0.226046432,,,,
